month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
11.0,18500.0,12.0,33.0,male,Secondary special education,Household appliances,1,2,16000.0,Another,0,1,No
6.0,44000.0,12.0,23.0,female,Secondary special education,Computers,0,2,23000.0,Another,0,0,No
4.0,32500.0,24.0,26.0,female,Incomplete higher education,Household appliances,0,0,121000.0,Another,1,0,No
1.0,26000.0,10.0,38.0,male,Higher education,Household appliances,1,0,51000.0,Another,3,0,No
4.0,19000.0,12.0,27.0,female,Secondary special education,Cell phones,0,0,31000.0,Married,0,0,No
4.0,36500.0,24.0,44.0,male,Secondary special education,Windows & Doors,1,0,26000.0,Married,3,1,No
2.0,6500.0,10.0,38.0,male,Higher education,Cell phones,1,2,16000.0,Another,1,0,No
11.0,63500.0,24.0,26.0,male,Higher education,Household appliances,1,2,56000.0,Another,2,1,No
1.0,30000.0,12.0,26.0,female,Secondary special education,Cell phones,0,2,41000.0,Another,2,0,No
5.0,14500.0,10.0,35.0,male,Secondary special education,Cell phones,1,2,40000.0,Another,1,1,No
3.0,51500.0,8.0,34.0,female,Higher education,Training,0,0,51000.0,Another,0,0,No
2.0,54000.0,3.0,45.0,male,Higher education,Household appliances,0,2,101000.0,Married,3,1,No
11.0,32500.0,12.0,32.0,female,Secondary special education,Cell phones,0,0,36000.0,Married,1,1,No
4.0,15000.0,10.0,65.0,male,Secondary special education,Jewelry,0,2,11000.0,Married,2,0,No
3.0,26000.0,8.0,31.0,female,Secondary special education,Computers,0,2,36000.0,Another,0,0,No
1.0,26500.0,18.0,24.0,male,Secondary education,Cell phones,0,2,26000.0,Another,1,1,No
1.0,12000.0,10.0,26.0,male,Higher education,Household appliances,0,2,26000.0,Married,1,0,No
3.0,27500.0,12.0,30.0,female,Higher education,Household appliances,0,0,21000.0,Another,1,0,No
6.0,25500.0,11.0,31.0,male,Higher education,Fitness,0,0,66000.0,Another,2,0,No
3.0,19500.0,12.0,23.0,female,Secondary special education,Household appliances,0,2,18000.0,Married,0,1,No
4.0,30500.0,6.0,29.0,male,Higher education,Furniture,1,2,36000.0,Another,1,1,No
11.0,45500.0,24.0,32.0,male,Incomplete higher education,Computers,1,2,41000.0,Another,1,0,No
12.0,33000.0,6.0,60.0,male,Higher education,Household appliances,0,1,46000.0,Another,1,1,No
10.0,26500.0,18.0,21.0,male,Secondary special education,Cell phones,1,2,35000.0,Married,1,0,Yes
2.0,53500.0,36.0,48.0,male,Secondary education,Windows & Doors,1,2,20000.0,Another,2,1,No
11.0,10500.0,4.0,53.0,male,Secondary special education,Clothing,1,2,11000.0,Another,1,0,No
8.0,8500.0,4.0,30.0,female,Higher education,Household appliances,1,2,31000.0,Another,0,0,No
1.0,30000.0,12.0,49.0,male,Secondary education,Clothing,1,2,26000.0,Another,2,0,No
9.0,18000.0,6.0,49.0,female,Higher education,Cell phones,1,0,56000.0,Married,2,1,Yes
1.0,74500.0,24.0,30.0,female,Higher education,Furniture,1,0,51000.0,Another,0,1,No
7.0,22000.0,8.0,24.0,female,Higher education,Household appliances,0,2,51000.0,Another,1,1,No
12.0,80000.0,12.0,31.0,male,Higher education,Household appliances,1,2,66000.0,Married,3,0,No
6.0,20000.0,12.0,20.0,male,Secondary special education,Computers,0,2,26000.0,Another,2,1,No
2.0,38000.0,18.0,22.0,male,Secondary special education,Furniture,1,2,16000.0,Another,3,1,No
7.0,8000.0,6.0,31.0,female,Secondary special education,Household appliances,0,2,31000.0,Another,1,1,No
3.0,26500.0,4.0,27.0,male,Higher education,Cell phones,0,2,36000.0,Another,3,0,No
1.0,48000.0,24.0,54.0,female,Higher education,Household appliances,1,0,26000.0,Another,1,0,No
8.0,5500.0,6.0,23.0,male,Secondary special education,Jewelry,0,1,31000.0,Another,0,0,No
2.0,40500.0,18.0,39.0,male,Secondary education,Cosmetics and beauty services,1,0,41000.0,Another,0,1,No
12.0,53000.0,10.0,47.0,male,Secondary education,Household appliances,0,2,16000.0,Another,2,1,No
10.0,23000.0,10.0,48.0,female,Secondary special education,Computers,1,2,28000.0,Another,1,1,No
7.0,14500.0,10.0,20.0,male,Secondary special education,Cell phones,0,2,18000.0,Another,0,0,No
9.0,6000.0,3.0,27.0,female,Incomplete higher education,Household appliances,1,2,46000.0,Another,1,0,No
11.0,26000.0,12.0,30.0,female,Secondary education,Household appliances,0,0,41000.0,Another,1,0,No
6.0,8000.0,6.0,55.0,male,Secondary education,Cell phones,0,2,16000.0,Another,0,0,No
9.0,14000.0,6.0,27.0,female,Secondary education,Cell phones,0,2,24000.0,Another,0,0,No
12.0,19000.0,12.0,28.0,male,Higher education,Cell phones,0,2,21000.0,Another,1,1,No
8.0,13000.0,12.0,27.0,male,Secondary special education,Cell phones,0,2,31000.0,Another,1,0,No
10.0,9000.0,3.0,48.0,male,Secondary special education,Construction Materials,1,2,31000.0,Married,4,0,No
10.0,6000.0,4.0,23.0,female,Secondary special education,Household appliances,0,2,51000.0,Another,0,1,No
10.0,124000.0,15.0,56.0,male,Higher education,Furniture,0,2,51000.0,Another,0,1,No
6.0,55000.0,24.0,25.0,female,Higher education,Clothing,0,2,46000.0,Another,1,1,No
7.0,14500.0,10.0,26.0,male,Higher education,Jewelry,0,2,26000.0,Another,1,1,No
9.0,18000.0,12.0,32.0,male,Higher education,Household appliances,1,2,26000.0,Married,2,1,No
3.0,25500.0,24.0,29.0,male,Secondary education,Jewelry,0,2,16000.0,Married,1,1,Yes
2.0,10000.0,12.0,24.0,male,Higher education,Cell phones,0,2,24000.0,Another,1,0,No
7.0,35500.0,30.0,52.0,male,Secondary special education,Cosmetics and beauty services,0,2,9000.0,Married,0,1,No
11.0,5000.0,4.0,22.0,female,Higher education,Jewelry,0,2,26000.0,Married,3,1,No
12.0,75000.0,36.0,54.0,male,Secondary education,Medical services,1,2,26000.0,Married,1,1,No
1.0,37000.0,15.0,32.0,male,Higher education,Furniture,1,2,36000.0,Another,0,1,Yes
6.0,17500.0,4.0,20.0,male,Secondary special education,Cell phones,0,2,21000.0,Married,3,1,No
3.0,6000.0,3.0,28.0,female,Higher education,Household appliances,1,2,36000.0,Married,2,1,No
11.0,23000.0,12.0,66.0,male,Secondary education,Household appliances,0,2,14000.0,Another,1,1,No
5.0,5500.0,6.0,52.0,female,Secondary special education,Cell phones,0,2,26000.0,Another,2,0,No
7.0,11000.0,12.0,26.0,female,Secondary education,Household appliances,1,2,31000.0,Another,0,0,No
2.0,27500.0,8.0,29.0,male,Incomplete higher education,Jewelry,1,2,36000.0,Married,2,0,No
12.0,49000.0,18.0,24.0,female,Secondary special education,Computers,1,2,36000.0,Another,1,0,No
3.0,16000.0,12.0,20.0,female,Secondary education,Cell phones,0,2,14000.0,Married,1,1,Yes
9.0,78500.0,30.0,24.0,male,Secondary special education,Cosmetics and beauty services,0,2,31000.0,Another,0,1,No
11.0,7500.0,3.0,26.0,male,Higher education,Construction Materials,0,2,13000.0,Married,2,0,Yes
12.0,11500.0,12.0,29.0,female,Secondary special education,Cell phones,0,2,26000.0,Another,2,0,Yes
9.0,23000.0,10.0,26.0,female,Higher education,Cell phones,0,2,31000.0,Another,2,0,Yes
5.0,13000.0,20.0,52.0,male,Secondary education,Medical services,1,2,21000.0,Another,0,1,No
9.0,33500.0,10.0,22.0,male,Higher education,Cell phones,0,2,26000.0,Married,2,0,No
11.0,31500.0,12.0,31.0,male,Secondary education,Computers,0,2,26000.0,Another,2,0,No
9.0,26000.0,12.0,45.0,female,Secondary special education,Household appliances,1,2,16000.0,Unmarried,3,1,No
2.0,9000.0,3.0,27.0,male,Higher education,Household appliances,1,2,26000.0,Another,1,0,No
1.0,11000.0,3.0,24.0,male,Secondary special education,Computers,0,2,26000.0,Another,2,1,No
3.0,34000.0,12.0,31.0,female,Secondary special education,Household appliances,0,1,31000.0,Unmarried,1,1,No
9.0,66000.0,12.0,26.0,male,Higher education,Windows & Doors,1,2,31000.0,Another,2,1,No
11.0,7000.0,6.0,26.0,female,Secondary special education,Cell phones,0,2,27000.0,Another,2,1,No
1.0,8000.0,12.0,31.0,male,Secondary special education,Cell phones,0,2,20000.0,Another,1,1,No
7.0,13500.0,12.0,21.0,male,Secondary special education,Cell phones,0,2,26000.0,Married,0,1,No
7.0,8000.0,10.0,22.0,female,Secondary special education,Cell phones,1,2,20000.0,Another,0,1,Yes
6.0,12500.0,12.0,43.0,female,Higher education,Household appliances,1,2,31000.0,Another,1,1,No
9.0,33500.0,12.0,24.0,female,Secondary education,Cell phones,0,0,51000.0,Another,0,1,No
3.0,30000.0,12.0,36.0,male,Secondary special education,Cell phones,1,0,46000.0,Married,1,1,No
2.0,22000.0,12.0,50.0,female,Secondary special education,Medical services,1,1,37000.0,Another,2,1,No
5.0,13500.0,6.0,30.0,female,Secondary special education,Household appliances,0,2,21000.0,Another,0,1,No
10.0,13000.0,6.0,27.0,female,Secondary special education,Household appliances,0,2,26000.0,Married,1,0,No
4.0,12000.0,12.0,40.0,female,Secondary education,Computers,1,2,13000.0,Another,1,1,No
12.0,21000.0,18.0,23.0,male,Higher education,Household appliances,0,2,26000.0,Another,2,1,Yes
5.0,30500.0,12.0,54.0,female,Higher education,Construction Materials,0,2,46000.0,Married,2,1,No
2.0,21000.0,8.0,49.0,male,Higher education,Household appliances,0,2,41000.0,Another,3,1,No
11.0,19500.0,6.0,29.0,male,Secondary special education,Cell phones,1,2,24000.0,Married,2,1,No
9.0,11000.0,3.0,41.0,male,Secondary special education,Computers,1,2,21000.0,Another,2,0,No
10.0,58500.0,36.0,57.0,female,Secondary special education,Furniture,1,2,32000.0,Married,1,1,No
5.0,21500.0,12.0,64.0,male,Higher education,Household appliances,1,2,25000.0,Another,2,0,No
10.0,12000.0,12.0,36.0,male,Secondary special education,Cell phones,1,1,31000.0,Another,1,0,No
10.0,12000.0,10.0,22.0,female,Secondary special education,Auto,0,2,19000.0,Another,1,0,No
9.0,21500.0,12.0,62.0,male,Secondary education,Household appliances,1,2,16000.0,Another,1,1,No
6.0,21000.0,3.0,47.0,female,Higher education,Household appliances,1,2,41000.0,Another,1,1,No
11.0,34500.0,7.0,45.0,male,Secondary special education,Clothing,1,2,26000.0,Another,0,1,No
11.0,8500.0,12.0,22.0,female,Secondary special education,Cell phones,0,2,27000.0,Married,0,1,Yes
8.0,20500.0,12.0,21.0,female,Higher education,Computers,0,1,46000.0,Another,1,1,No
1.0,18000.0,6.0,56.0,female,Secondary education,Cell phones,0,2,36000.0,Unmarried,1,0,No
1.0,6500.0,6.0,34.0,female,Secondary special education,Cell phones,0,2,26000.0,Married,0,0,Yes
8.0,45000.0,18.0,30.0,male,Secondary special education,Cosmetics and beauty services,1,2,26000.0,Another,2,0,No
3.0,16000.0,6.0,21.0,female,Secondary education,Cell phones,0,2,36000.0,Married,0,0,No
6.0,30000.0,16.0,45.0,male,Secondary special education,Household appliances,1,2,31000.0,Married,1,0,No
9.0,21000.0,18.0,26.0,female,Secondary special education,Cell phones,0,2,26000.0,Married,0,0,No
2.0,15000.0,4.0,20.0,male,Secondary education,Cell phones,0,2,10000.0,Another,3,0,No
2.0,18000.0,12.0,33.0,female,Higher education,Household appliances,0,1,36000.0,Another,0,1,No
9.0,41000.0,10.0,33.0,female,Higher education,Furniture,1,1,46000.0,Another,1,0,No
2.0,21000.0,6.0,20.0,male,Secondary special education,Household appliances,0,2,30000.0,Another,1,1,No
3.0,18000.0,8.0,26.0,female,Secondary special education,Furniture,0,2,26000.0,Another,0,1,No
8.0,31000.0,12.0,26.0,female,Secondary special education,Household appliances,0,2,31000.0,Another,0,1,Yes
7.0,29500.0,12.0,64.0,male,Secondary special education,Furniture,0,2,12000.0,Another,3,0,No
11.0,16000.0,8.0,24.0,female,Higher education,Household appliances,0,2,46000.0,Another,2,0,No
1.0,11000.0,6.0,19.0,male,Secondary special education,Household appliances,0,2,21000.0,Another,0,1,No
2.0,6500.0,3.0,41.0,male,Secondary special education,Household appliances,1,2,11000.0,Married,1,1,No
10.0,21000.0,6.0,25.0,male,Higher education,Computers,0,2,46000.0,Another,0,0,No
11.0,28000.0,10.0,22.0,female,Secondary education,Cell phones,0,2,21000.0,Another,2,1,No
12.0,51000.0,36.0,34.0,male,Higher education,Windows & Doors,0,2,20000.0,Another,0,0,No
12.0,14500.0,12.0,24.0,female,Secondary special education,Jewelry,1,2,26000.0,Another,0,1,No
7.0,20500.0,12.0,28.0,male,Higher education,Cell phones,0,2,41000.0,Another,1,1,No
12.0,93000.0,4.0,40.0,male,Higher education,Tourism,0,0,73000.0,Unmarried,1,1,No
3.0,19500.0,12.0,20.0,female,Incomplete higher education,Computers,0,2,31000.0,Another,2,1,No
9.0,15000.0,10.0,22.0,male,Incomplete higher education,Cell phones,0,2,26000.0,Another,1,1,No
1.0,37000.0,18.0,62.0,female,Secondary special education,Household appliances,1,0,51000.0,Another,3,0,No
11.0,176000.0,36.0,31.0,male,Secondary education,Clothing,0,2,51000.0,Another,0,1,No
7.0,54000.0,12.0,27.0,female,Higher education,Computers,0,2,51000.0,Another,3,0,No
10.0,14000.0,4.0,27.0,male,Higher education,Fitness,0,1,31000.0,Another,1,1,No
7.0,39500.0,12.0,32.0,male,Higher education,Repair Services,1,2,20000.0,Another,1,0,No
3.0,22000.0,6.0,40.0,female,Secondary special education,Cell phones,1,2,20000.0,Another,1,1,No
2.0,46500.0,12.0,54.0,male,Higher education,Windows & Doors,0,0,71000.0,Another,0,1,No
1.0,6500.0,3.0,66.0,male,Secondary special education,Household appliances,1,2,19000.0,Another,2,1,No
11.0,19000.0,12.0,32.0,female,Secondary special education,Household appliances,1,2,26000.0,Married,0,1,No
4.0,5000.0,4.0,36.0,female,Secondary special education,Cell phones,1,2,41000.0,Another,1,1,No
4.0,28000.0,12.0,32.0,female,Secondary special education,Household appliances,0,0,43000.0,Married,2,1,No
4.0,5000.0,6.0,24.0,male,Secondary special education,Cell phones,1,2,11000.0,Another,2,1,No
12.0,37500.0,24.0,67.0,female,Higher education,Computers,1,2,46000.0,Another,3,0,No
12.0,191000.0,12.0,39.0,male,Secondary special education,Clothing,1,2,61000.0,Another,1,1,No
10.0,36000.0,12.0,29.0,female,Higher education,Clothing,1,2,51000.0,Unmarried,2,0,No
3.0,7500.0,8.0,22.0,female,Secondary special education,Cell phones,0,2,19000.0,Another,1,1,No
4.0,9000.0,4.0,25.0,male,Higher education,Cell phones,1,2,26000.0,Another,2,0,No
6.0,41000.0,12.0,42.0,female,Secondary special education,Furniture,1,2,26000.0,Married,0,1,No
8.0,33000.0,6.0,26.0,male,Secondary special education,Cell phones,0,2,31000.0,Another,4,1,No
10.0,47000.0,18.0,62.0,male,Higher education,Training,0,1,36000.0,Another,0,1,No
12.0,11000.0,4.0,26.0,female,Higher education,Cell phones,0,2,26000.0,Married,1,1,No
10.0,38000.0,12.0,30.0,female,Secondary special education,Furniture,0,2,16000.0,Another,0,0,No
10.0,8500.0,6.0,30.0,female,Secondary special education,Cell phones,1,2,31000.0,Another,0,1,No
1.0,35000.0,12.0,28.0,male,Higher education,Cell phones,1,1,34000.0,Another,1,1,No
1.0,28000.0,12.0,23.0,male,Higher education,Cell phones,0,0,30000.0,Another,1,1,No
7.0,10500.0,6.0,19.0,male,Secondary special education,Cell phones,0,0,21000.0,Another,0,1,No
8.0,13000.0,3.0,37.0,female,Higher education,Household appliances,1,2,36000.0,Another,0,0,No
3.0,11000.0,12.0,29.0,male,Secondary education,Cell phones,1,2,11000.0,Another,1,1,Yes
8.0,14500.0,8.0,23.0,female,Secondary special education,Household appliances,1,2,26000.0,Another,2,1,No
4.0,26000.0,12.0,49.0,male,Secondary special education,Furniture,0,2,18000.0,Married,1,1,Yes
1.0,14000.0,6.0,24.0,female,Incomplete higher education,Computers,0,0,36000.0,Another,3,1,No
4.0,27500.0,10.0,21.0,male,Secondary special education,Household appliances,1,2,21000.0,Another,0,1,No
1.0,8000.0,6.0,24.0,female,Secondary special education,Cell phones,0,2,16000.0,Married,1,1,No
3.0,25000.0,12.0,25.0,male,Incomplete higher education,Cell phones,1,1,36000.0,Married,1,0,No
8.0,65000.0,10.0,23.0,male,Higher education,Clothing,0,2,26000.0,Another,1,0,No
5.0,14500.0,12.0,52.0,male,Secondary special education,Household appliances,0,2,31000.0,Another,2,0,No
8.0,57500.0,36.0,29.0,female,Higher education,Windows & Doors,1,2,17000.0,Another,1,1,No
2.0,10500.0,12.0,42.0,female,Secondary special education,Computers,1,2,24000.0,Another,0,1,No
7.0,12500.0,12.0,37.0,male,Secondary special education,Cell phones,1,2,16000.0,Another,2,1,No
3.0,11500.0,10.0,32.0,male,Secondary special education,Household appliances,1,2,26000.0,Another,0,0,No
1.0,8000.0,12.0,25.0,female,Secondary education,Household appliances,0,2,11000.0,Married,3,1,Yes
4.0,16500.0,6.0,26.0,male,Secondary special education,Household appliances,0,2,26000.0,Another,3,0,No
8.0,5000.0,6.0,38.0,female,Secondary special education,Cell phones,0,2,16000.0,Another,1,0,No
10.0,186500.0,36.0,65.0,male,Secondary special education,Furniture,0,2,21000.0,Another,0,1,No
11.0,19000.0,12.0,53.0,male,Higher education,Household appliances,0,0,56000.0,Another,0,1,No
2.0,76000.0,15.0,26.0,female,Higher education,Tourism,1,2,61000.0,Another,0,0,No
3.0,8000.0,12.0,39.0,female,Secondary education,Cell phones,0,2,36000.0,Another,3,1,No
3.0,7500.0,12.0,24.0,female,Secondary special education,Cell phones,0,2,21000.0,Another,2,1,No
2.0,29500.0,18.0,27.0,female,Higher education,Household appliances,0,2,16000.0,Another,1,1,No
8.0,15500.0,12.0,22.0,female,Secondary special education,Household appliances,0,2,16000.0,Another,0,0,No
3.0,14000.0,6.0,45.0,female,Secondary special education,Cell phones,1,0,46000.0,Another,1,1,Yes
12.0,11000.0,6.0,44.0,female,Secondary special education,Auto,1,2,45000.0,Another,2,0,No
1.0,17000.0,6.0,42.0,male,Secondary special education,Household appliances,0,2,22000.0,Another,1,1,No
12.0,6500.0,5.0,33.0,female,Secondary special education,Household appliances,1,2,19000.0,Another,2,0,No
6.0,17000.0,12.0,19.0,male,Secondary education,Cell phones,0,2,21000.0,Another,1,1,No
6.0,19000.0,12.0,27.0,male,Secondary special education,Cell phones,1,1,16000.0,Another,2,0,No
10.0,21500.0,3.0,29.0,female,Secondary special education,Household appliances,0,2,36000.0,Another,0,1,No
1.0,14500.0,9.0,20.0,male,Incomplete higher education,Household appliances,0,2,16000.0,Married,0,1,No
5.0,27000.0,10.0,54.0,male,Secondary special education,Computers,0,2,31000.0,Another,1,1,No
5.0,7000.0,9.0,29.0,male,Secondary education,Computers,1,2,21000.0,Another,2,1,No
3.0,10000.0,12.0,25.0,female,Secondary special education,Household appliances,0,2,19000.0,Another,3,1,No
11.0,47000.0,10.0,21.0,female,Secondary special education,Household appliances,0,2,46000.0,Married,1,1,No
8.0,39000.0,12.0,55.0,female,Secondary special education,Computers,1,2,41000.0,Another,0,0,No
3.0,7500.0,10.0,25.0,female,Secondary special education,Cell phones,1,2,31000.0,Another,1,1,No
12.0,22500.0,12.0,24.0,female,PhD degree,Household appliances,1,2,36000.0,Another,2,1,No
12.0,29500.0,10.0,36.0,male,Higher education,Household appliances,1,2,36000.0,Another,0,0,No
4.0,25000.0,12.0,35.0,female,Secondary special education,Household appliances,0,2,26000.0,Another,1,0,No
12.0,21000.0,24.0,40.0,male,Secondary education,Household appliances,0,2,21000.0,Married,0,1,No
2.0,33500.0,12.0,26.0,male,Higher education,Household appliances,0,2,41000.0,Married,0,0,No
9.0,18500.0,4.0,47.0,male,Higher education,Fitness,1,2,31000.0,Married,1,0,No
6.0,31000.0,6.0,30.0,male,Higher education,Clothing,0,1,37000.0,Another,1,1,No
1.0,15500.0,10.0,25.0,female,Secondary education,Household appliances,0,2,19000.0,Another,1,1,Yes
10.0,6500.0,6.0,20.0,female,Secondary special education,Cell phones,0,2,16000.0,Another,0,1,No
12.0,37500.0,12.0,45.0,male,Secondary special education,Cell phones,1,2,19000.0,Another,1,1,No
5.0,38000.0,12.0,53.0,female,Secondary special education,Household appliances,0,2,41000.0,Married,0,1,No
8.0,27000.0,18.0,24.0,female,Secondary special education,Computers,0,2,21000.0,Another,0,0,No
9.0,16000.0,3.0,23.0,male,Higher education,Furniture,0,2,22000.0,Another,3,1,No
11.0,22000.0,10.0,21.0,female,Secondary special education,Computers,0,2,26000.0,Married,1,1,No
3.0,133000.0,12.0,57.0,female,Secondary education,Furniture,1,2,51000.0,Another,0,1,No
11.0,25000.0,24.0,37.0,female,Higher education,Furniture,1,2,41000.0,Another,1,1,No
4.0,14000.0,12.0,62.0,male,Secondary special education,Household appliances,0,2,27000.0,Another,1,1,No
5.0,13000.0,6.0,25.0,female,Secondary special education,Cell phones,0,2,31000.0,Another,2,1,No
2.0,12500.0,6.0,60.0,male,Secondary education,Computers,1,2,21000.0,Another,1,0,No
12.0,98500.0,24.0,30.0,male,Higher education,Cosmetics and beauty services,0,2,31000.0,Another,1,1,Yes
9.0,31000.0,36.0,62.0,male,Secondary special education,Sporting goods,0,2,11000.0,Another,1,0,No
7.0,26000.0,12.0,68.0,male,Secondary special education,Medical services,1,2,19000.0,Another,1,1,No
2.0,14000.0,6.0,59.0,male,Secondary special education,Furniture,1,2,12000.0,Another,1,1,No
3.0,15000.0,15.0,45.0,male,Higher education,Medical services,1,2,31000.0,Married,2,0,Yes
3.0,43500.0,12.0,53.0,male,Higher education,Cosmetics and beauty services,0,0,31000.0,Married,0,1,No
